,volume,CloudPrcYear
553,192218.07000000018,none
554,862.3,28.8677
555,193080.37000000017,none
556,862.66,19.9421
557,193943.03000000017,none
558,859.14,23.6863
559,194802.1700000002,none
560,856.91,2.1064
561,195659.0800000002,none
562,834.81,0.0547
563,196493.8900000002,none
564,823.42,0.3908
565,197317.3100000002,none
566,826.08,0.058499999999999996
567,198143.3900000002,none
568,835.05,0.4103
569,198978.44000000018,none
570,838.68,0.1793
571,199817.12000000017,none
572,857.58,23.8702
573,200674.70000000016,none
574,870.93,7.2825
575,201545.63000000015,none
576,663.53,2.8596
577,202209.16000000015,none
578,675.02,4.2961
579,202884.18000000014,none
580,661.68,6.3554
581,203545.86000000013,none
582,684.81,1.8629
583,204230.67000000013,none
584,634.89,0.2575
585,204865.56000000014,none
586,621.27,0.0
587,205486.83000000013,none
588,693.62,0.0124
589,206180.45000000013,none
590,674.36,2.4947
591,206854.8100000001,none
592,637.34,0.0516
593,207492.1500000001,none
594,636.75,0.0
595,208128.9000000001,none
596,642.29,6.5736
597,208771.19000000012,none
598,486.71,0.0
599,209257.9000000001,none
600,646.08,1.2446
601,209903.9800000001,none
602,675.28,6.7675
603,210579.2600000001,none
604,635.44,1.656
605,211214.7000000001,none
606,660.8,8.0509
607,211875.5000000001,none
608,619.39,0.0371
609,212494.8900000001,none
610,649.37,0.0
611,213144.2600000001,none
612,675.57,0.5026
613,213819.8300000001,none
614,708.44,0.2289
615,214528.2700000001,none
616,617.4,0.6325
617,215145.6700000001,none
618,632.61,0.0591
619,215778.2800000001,none
620,659.92,0.1194
621,216438.2000000001,none
622,685.67,0.24889999999999998
623,217123.8700000001,none
624,843.23,10.0448
625,217967.10000000012,none
626,838.13,27.6404
627,218805.23000000013,none
628,606.73,10.3029
629,219411.96000000014,none
630,593.92,19.1376
631,220005.88000000015,none
632,563.15,4.2071
633,220569.03000000014,none
634,802.73,0.375
635,221371.76000000015,none
636,800.12,0.0939
637,222171.88000000015,none
638,799.59,1.0145
639,222971.47000000015,none
640,800.59,0.3575
641,223772.06000000014,none
642,587.53,2.318
643,224359.59000000014,none
644,838.51,8.4867
645,225198.10000000015,none
646,836.19,2.3642
647,226034.29000000015,none
648,663.93,14.8876
649,226698.22000000015,none
650,858.05,22.9884
651,227556.27000000014,none
652,631.07,15.0897
653,228187.34000000014,none
654,847.55,5.6878
655,229034.89000000013,none
656,807.78,3.2917
657,229842.67000000013,none
658,806.17,1.1304
659,230648.84000000014,none
660,558.37,1.584
661,231207.21000000014,none
662,565.54,0.17830000000000001
663,231772.75000000015,none
664,582.2,0.2902
665,232354.95000000016,none
666,822.89,0.6703
667,233177.84000000017,none
668,853.77,13.13
669,234031.61000000016,none
670,863.08,6.3669
671,234894.69000000015,none
672,835.8,5.9602
673,235730.49000000014,none
674,814.42,11.5572
675,236544.91000000015,none
676,746.97,49.7471
677,237291.88000000015,none
678,808.54,23.1992
679,238100.42000000016,none
680,798.58,3.6256000000000004
681,238899.00000000015,none
682,796.22,0.2726
683,239695.22000000015,none
684,799.92,0.9401999999999999
685,240495.14000000016,none
686,796.82,11.5261
687,241291.96000000017,none
688,778.35,0.0645
689,242070.31000000017,none
690,788.91,3.2728
691,242859.22000000018,none
692,787.72,3.4815000000000005
693,243646.94000000018,none
694,812.31,1.4493
695,244459.25000000017,none
696,826.24,1.7246
697,245285.49000000017,none
698,850.94,10.468
699,246136.43000000017,none
700,815.17,1.6727
701,246951.60000000018,none
702,822.36,10.6267
703,247773.96000000017,none
704,782.5,7.009899999999999
705,248556.46000000017,none
706,790.41,0.1091
707,249346.87000000017,none
708,794.72,17.4905
709,250141.59000000017,none
710,799.63,0.9049
711,250941.22000000018,none
712,797.08,0.0189
713,251738.30000000016,none
714,792.52,0.0719
715,252530.82000000015,none
716,837.48,0.4114
717,253368.30000000016,none
718,819.52,0.3803
719,254187.82000000015,none
720,808.58,0.7088
721,254996.40000000014,none
722,804.3,21.7863
723,255800.70000000013,none
724,800.82,6.906699999999999
725,256601.52000000014,none
726,782.05,28.207399999999996
727,257383.57000000012,none
728,802.6,4.1508
729,258186.17000000013,none
730,787.94,0.12459999999999999
731,258974.11000000013,none
732,779.1,0.1308
733,259753.21000000014,none
734,780.86,0.171
735,260534.07000000012,none
736,787.01,0.0679
737,261321.08000000013,none
738,812.28,3.0504
739,262133.36000000013,none
740,823.86,0.7325
741,262957.22000000015,none
742,809.7,0.4114
743,263766.92000000016,none
744,825.88,6.4718
745,264592.80000000016,none
746,825.05,3.7350000000000003
747,265417.85000000015,none
748,809.96,3.3348
749,266227.8100000002,none
750,815.34,0.8373000000000002
751,267043.1500000002,none
752,792.74,7.9061
753,267835.8900000002,none
754,789.42,0.721
755,268625.3100000002,none
756,798.89,0.6313
757,269424.2000000002,none
758,621.3,0.0957
759,270045.5000000002,none
760,798.87,0.3071
761,270844.37000000017,none
762,811.76,0.1625
763,271656.1300000002,none
764,806.02,6.1606
765,272462.1500000002,none
